station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2026-09-21 12:00:00,4,24.9,25184.38,-52.7,-78.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,24.47,25298.0,-52.7,-78.58,0.0,9,M,M
KOKX,2026-09-21 12:00:00,4,23.34,25603.0,-52.7,-78.24,40.0,4,M,M
KOKX,2026-09-21 12:00:00,4,21.6,26102.55,-52.7,-77.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,21.4,26162.63,-52.7,-77.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,21.23,26213.0,-52.65,-77.65,105.0,4,M,M
KOKX,2026-09-21 12:00:00,4,20.8,26346.37,-52.5,-77.5,M,M,M,M
KOKX,2026-09-21 12:00:00,4,20.26,26518.0,-52.36,-77.36,0.0,5,M,M
KOKX,2026-09-21 12:00:00,4,20.0,26600.0,-52.3,-77.3,85.0,13,M,M
KOKX,2026-09-21 12:00:00,4,18.44,27127.0,-50.62,-76.74,100.0,13,M,M
KOKX,2026-09-21 12:00:00,4,17.6,27432.0,-49.66,-76.42,140.0,12,M,M
KOKX,2026-09-21 12:00:00,4,17.3,27543.8,-49.3,-76.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,16.8,27737.0,-48.94,-75.94,130.0,10,M,M
KOKX,2026-09-21 12:00:00,4,16.2,27974.99,-48.5,-75.5,M,M,M,M
KOKX,2026-09-21 12:00:00,4,16.04,28042.0,-48.31,-75.31,105.0,5,M,M
KOKX,2026-09-21 12:00:00,4,15.31,28346.0,-47.44,-74.44,160.0,14,M,M
KOKX,2026-09-21 12:00:00,4,15.2,28395.05,-47.3,-74.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,14.62,28651.0,-46.87,-73.87,220.0,4,M,M
KOKX,2026-09-21 12:00:00,4,13.97,28956.0,-46.35,-73.35,175.0,11,M,M
KOKX,2026-09-21 12:00:00,4,13.9,28987.38,-46.3,-73.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,13.6,29132.38,-45.9,-72.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,13.34,29261.0,-45.67,-72.67,170.0,12,M,M
KOKX,2026-09-21 12:00:00,4,12.75,29566.0,-45.13,-72.13,155.0,12,M,M
KOKX,2026-09-21 12:00:00,4,11.5,30252.94,-43.9,-70.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,10.5,30862.87,-44.3,-71.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,10.0,31190.0,-43.9,-69.9,270.0,16,M,M
KOKX,2026-09-21 12:00:00,4,9.6,31464.11,-43.7,-69.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,8.9,31974.5,-42.1,-69.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,8.8,32050.94,-42.1,-69.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,8.6,32206.49,-42.1,-61.1,M,M,M,M
